riddle_id,entity_id,role
268,89,mentioned
268,95,mentioned
268,131,mentioned
268,133,mentioned
268,248,mentioned
268,594,mentioned
268,595,mentioned
269,2,mentioned
269,89,mentioned
269,133,mentioned
269,249,mentioned
269,250,mentioned
270,3,mentioned
270,133,mentioned
270,135,mentioned
270,251,mentioned
271,69,mentioned
271,71,mentioned
271,89,mentioned
271,133,mentioned
271,135,mentioned
271,252,mentioned
271,412,mentioned
272,133,mentioned
272,253,mentioned
272,412,mentioned
272,555,mentioned
273,89,mentioned
273,131,mentioned
273,133,mentioned
273,254,mentioned
273,669,mentioned
274,69,mentioned
274,89,mentioned
274,133,mentioned
274,135,mentioned
274,255,mentioned
275,12,mentioned
275,89,mentioned
275,133,mentioned
275,256,mentioned
275,412,mentioned
275,528,mentioned
275,654,mentioned
276,1,mentioned
276,89,mentioned
276,131,mentioned
276,133,mentioned
276,257,mentioned
276,552,mentioned
277,89,mentioned
277,133,mentioned
277,135,mentioned
277,258,mentioned
277,412,mentioned
278,133,mentioned
278,135,mentioned
278,259,mentioned
278,654,mentioned
279,89,mentioned
279,133,mentioned
279,260,mentioned
279,412,mentioned
279,590,mentioned
279,671,mentioned
280,133,mentioned
280,261,mentioned
280,581,mentioned
280,587,mentioned
281,133,mentioned
281,262,mentioned
281,581,mentioned
281,587,mentioned
282,89,mentioned
282,131,mentioned
282,133,mentioned
282,263,mentioned
282,412,mentioned
283,2,mentioned
283,89,mentioned
283,133,mentioned
283,264,mentioned
283,412,mentioned
284,4,mentioned
284,89,mentioned
284,133,mentioned
284,265,mentioned
284,496,mentioned
285,4,mentioned
285,133,mentioned
285,135,mentioned
285,266,mentioned
285,557,mentioned
285,658,mentioned
286,133,mentioned
286,135,mentioned
286,267,mentioned
286,496,mentioned
286,568,mentioned
287,133,mentioned
287,268,mentioned
287,654,mentioned
288,15,mentioned
288,133,mentioned
288,135,mentioned
288,577,mentioned
289,133,mentioned
289,135,mentioned
289,412,mentioned
290,133,mentioned
290,135,mentioned
291,133,mentioned
291,269,mentioned
291,431,mentioned
292,18,mentioned
292,133,mentioned
292,270,mentioned
292,431,mentioned
293,133,mentioned
293,135,mentioned
293,412,mentioned
293,519,mentioned
293,568,mentioned
294,61,mentioned
294,120,mentioned
294,133,mentioned
295,10,mentioned
295,71,mentioned
295,133,mentioned
295,135,mentioned
295,271,mentioned
295,412,mentioned
295,725,mentioned
296,9,mentioned
296,10,mentioned
296,71,mentioned
296,133,mentioned
296,657,mentioned
297,7,mentioned
297,18,mentioned
297,133,mentioned
297,412,mentioned
298,133,mentioned
298,481,mentioned
298,666,mentioned
299,12,mentioned
299,133,mentioned
300,133,mentioned
300,725,mentioned
301,133,mentioned
301,272,mentioned
301,575,mentioned
301,589,mentioned
302,59,mentioned
302,133,mentioned
302,273,mentioned
303,133,mentioned
303,274,mentioned
303,642,mentioned
304,133,mentioned
304,275,mentioned
305,133,mentioned
305,276,mentioned
306,8,mentioned
306,133,mentioned
306,277,mentioned
307,133,mentioned
307,278,mentioned
307,412,mentioned
308,133,mentioned
308,279,mentioned
308,583,mentioned
309,133,mentioned
309,280,mentioned
310,133,mentioned
310,281,mentioned
311,131,mentioned
311,133,mentioned
311,135,mentioned
311,282,mentioned
312,133,mentioned
312,283,mentioned
313,133,mentioned
313,284,mentioned
313,491,mentioned
314,133,mentioned
314,285,mentioned
314,667,mentioned
315,133,mentioned
315,286,mentioned
315,412,mentioned
316,61,mentioned
316,131,mentioned
316,133,mentioned
316,287,mentioned
316,639,mentioned
317,133,mentioned
317,412,mentioned
317,667,mentioned
318,412,mentioned
319,412,mentioned
320,412,mentioned
321,133,mentioned
321,135,mentioned
321,288,mentioned
321,667,mentioned
322,60,mentioned
322,89,mentioned
322,131,mentioned
322,133,mentioned
322,135,mentioned
322,289,mentioned
323,0,mentioned
323,594,mentioned
324,0,mentioned
324,71,mentioned
324,133,mentioned
324,594,mentioned
325,0,mentioned
325,131,mentioned
325,133,mentioned
325,135,mentioned
325,290,mentioned
326,0,mentioned
326,89,mentioned
326,133,mentioned
326,135,mentioned
327,0,mentioned
327,133,mentioned
327,291,mentioned
327,667,mentioned
328,0,mentioned
328,133,mentioned
328,292,mentioned
328,667,mentioned
329,60,mentioned
329,412,mentioned
329,587,mentioned
329,667,mentioned
330,60,mentioned
330,412,mentioned
330,587,mentioned
330,667,mentioned
331,0,mentioned
332,0,mentioned
333,412,mentioned
334,133,mentioned
334,412,mentioned
335,133,mentioned
335,412,mentioned
336,133,mentioned
336,135,mentioned
336,554,mentioned
337,412,mentioned
338,70,mentioned
338,131,mentioned
338,133,mentioned
338,293,mentioned
339,4,mentioned
339,133,mentioned
339,294,mentioned
339,672,mentioned
340,0,mentioned
340,133,mentioned
341,0,mentioned
341,133,mentioned
